,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
1722,2020-09-25 14:19:00,#Options Flow Stream Update $AMZN $TSLA $MSFT $ZM $SE $SPY $QQQ $VIX $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA  ',4554,0.0006829139400970206,0.0,1.0,0.0,0.0
1723,2020-09-25 14:19:00,Exited my $MSFT put at +10%. Not feeling too risky in a sideways market \xf0\x9f\x91\x8d sitting 1% green right now holding a $SPAQ November call and a ton of cash. May not make another move today.',134,2.0094525246596564e-05,0.04,0.9129999999999999,0.047,0.057201149406844114
1725,2020-09-25 14:18:00,2 excellent scalps on TWTR &amp; UVXY already today $SPY $FB $SNAP $QQQ $SPX $XLC $T $VZ $AAPL $XLK $MSFT $TGT $WMT $XLY $AMD $SOXX Bought  $TWTR $42.64 and sold $43. Short UVXY $21.78 covered $21.53. Subscribe today and trade with us at  #trading #markets ',6453,0.0009676863538528928,0.0,0.9209999999999999,0.079,0.5724534198257684
1726,2020-09-25 14:18:00,"$AMZN Luna is destined to fail just like $GOOG stadia.  Interestingly, while some would consider this bearish for $MSFT, I see it as bullish.  It was inevitable that $AMZN would eventually try and compete. But with a product this poor, it alleviates any concerns for $MSFT longs.'",7248,0.0010869038730397904,0.134,0.769,0.098,-0.4455837809138901
1727,2020-09-25 14:17:00,"Today Top Flow in #StockMarket, Buy Flow and Sell Flow $AMZN $QQQ $IWM $SPY $NVDA $AAPL $MSFT $ZM $PTON $BDX $TSLA $BABA $ACWI $VSS $IWV $EEM $AGG $ABBV $BAC $PG #stock #stocks #Investment #investing  '",4554,0.0006829139400970206,0.0,0.948,0.052000000000000005,0.2024381534900816
1728,2020-09-25 14:17:00,"$YM $ES $NQ $ES_F $NQ_F $SPX $QQQ $FANG #FAANG $AMZN $FB $AAPL $NFLX $GOOGL $NVDA $MSFT $VIX $VXX $UVXY First 45 mins of trading... touched Green earlier Indices all solid RED With Durable goods disappointed, no catalyst to move higher with conviction Continue to say: Be Careful'",92,1.3796241214081225e-05,0.10300000000000001,0.835,0.062,-0.4767065766681868
1729,2020-09-25 14:14:00,\xf0\x9f\x8f\xa6 Highest Market Caps \xf0\x9f\x8f\xa6 \xf0\x9f\xa5\x87Apple Inc. $AAPL \xc2\xbb 109.35 \xf0\x9f\x94\xbc1.13\xe2\x96\xaa\xef\xb8\x8f\xef\xb8\x8f1.04% \xf0\x9f\xa5\x88Microsoft Corporation $MSFT \xc2\xbb 203.8 \xf0\x9f\x94\xbc0.61\xe2\x96\xaa\xef\xb8\x8f\xef\xb8\x8f0.3% \xf0\x9f\xa5\x89 Inc. $AMZN \xc2\xbb 3021.55 \xf0\x9f\x94\xbc1.76\xe2\x96\xaa\xef\xb8\x8f\xef\xb8\x8f0.06% Rankings \xe2\x9e\xa1\xef\xb8\x8f  ',451,6.763157377772426e-05,0.0,1.0,0.0,0.0
1730,2020-09-25 14:12:00,"What should be your action plan in $MSFT, $AAPL, $BA, $ZM, $JNJ, $TSLA, $BMY? Figure out the best possible #strategy with #financialastrology by  '",789,0.00011831776432510962,0.0,0.84,0.16,0.6369753565840987
1731,2020-09-25 14:11:00,"$FB is a tough investment morally.  I don't like their future as much as $AMZN or $MSFT in the big cap tech space... """,162,2.429338126827346e-05,0.16,0.84,0.0,-0.3839093262290689
1732,2020-09-25 14:11:00,"Why is it smart to diversify? If you'd bought stock in the five biggest companies in 2007, you'd be praising #Microsoft and cursing the rest:    $MSFT $GE $TOT $XOM $RDSB""",20,2.999182872626353e-06,0.0,0.8190000000000001,0.18100000000000002,0.7351022046993297
