,Unnamed: 0,timestamp,tweet_text,followers_count
40,40.0,2020-09-23 21:48:07,b'$NKE Why Nike Stock Surged Today https://t.co/qv9rqiIiKG',81625
41,41.0,2020-09-23 21:46:32,"b""Wednesday's Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $AMZN $NFLX $MAR $ORLY $GRMN $TSCO $HD $BWA $YUM $CMG $CMCSA $NKE $MCD $GPC $SBUX $WYNN $F $LEN $DIS $AZO #stock #stocks #StockMarket #Investment #investing #consumers https://t.co/5JE2nlalc3 https://t.co/0Bg0pLx9Oi""",4546
42,42.0,2020-09-23 21:42:59,b'Monster day for me with $SHLL $NKE and $DPHC   Mostly just trading the bounce and sitting in cash. I do have positions in $SHLL $PIC and $GRAF  Will be looking to see if we hold the 100 day in $SPY',28
43,43.0,2020-09-23 21:40:21,b'$NKLA $TSLA $MRNA $MRNS $DOCU $SPOT $SPI $CVAC $NVAX $INO $GDRX $SPY #COVID19 #trending #Fauci #Trump #MLB #NFL $frog $JMIA $AAPL $AMZN $shop $ZM $UPS $FDX $MSFT $JNUG $GLD $GDX $JDST $NKE https://t.co/rKlOfHdrNS',74
44,44.0,2020-09-23 21:39:15,b'Scan results - Expansion Breakout today: $SPI $JKS $NKE $TWTR $ZM ... https://t.co/QJjm5VmiVa',8530
45,45.0,2020-09-23 21:37:44,b'Scan results - MACD Bullish Signal Line Cross today: $NKE $MTN $DIOD $CVNA $UNFI $WGO $ELF $EA $DFIN $AMAT $PEN $MKSI $FOCS $STMP $MSCI $CHGG $ZEN $SPT $PAYC $ECOM ... https://t.co/kQWsoxxdfq',8530
46,46.0,2020-09-23 21:36:24,"b'@ChartBreakouts Here\xe2\x80\x99s a couple on my list- not to many tho \xf0\x9f\x98\x82 $TWTR, $NKE, $ZNGA, $GRVY, $NET'",30
47,47.0,2020-09-23 21:34:39,b'I bout that $NKE contract for $1.50 before close yesterday. Sold it for $8.50 this morning.   ZM popped $40 the congrats went crazy. AMZN puts paid. TSLA puts paid.',1261
48,48.0,2020-09-23 21:33:42,b'Scan results - New 52 Week Closing High today: $SPI $JKS $NKE $TWTR $PTON $ZM $BPMC $PTVE $AMWL $FVRR $XLRN $BGNE $ETACU ... https://t.co/H250MrFvNJ',8530
49,49.0,2020-09-23 21:33:22,b'Stocks to consider as Nike soars on strong digital sales https://t.co/2fCv5DQk61  $NKE $AEO $CRI https://t.co/eMSzeaGbfV',8434
50,50.0,2020-09-23 21:32:26,"b'US Stocks Watchlist - 23 September 2020  For the watchlist from Wednesdays scans - $AVTR, $BYND, $CHWY, $CRWD, $ETSY, $FSLY, $HUBS, $MDB, $MELI, $MITK, $NKE, $PINS, $RRC, $STMP, $STNE, $TWTR  #stocks #trading #Stock #StockMarket  https://t.co/VqtBPQteGQ'",3849
51,51.0,2020-09-23 21:31:37,"b""$SPI up 2,536% .     If you're not subscribed, you're probably not going to see the big winners until it's too late.  Buy low, sell high...  https://t.co/uAcamNRUPt $DSGT $SUNW $NKE https://t.co/q7nSfaAjk2""",24321
52,52.0,2020-09-23 21:31:12,b'A Sea of Red \xf0\x9f\x94\xb4  Only 10 stocks on our leaderboard of the Top 100 stocks by market cap closed the day green.   1. $NKE 2. $ZM 3. $SNY 4. $TM 5. $BTI 6. $NVO 7. $AZN 8. $BMY 9. $JNJ 10. $COST  Full Leaderboard \xe2\x9e\xa1\xef\xb8\x8f https://t.co/UzkEwV56bf https://t.co/8k9yRBAdwZ',1554
53,53.0,2020-09-23 21:30:39,b'$NKE Nike Inc is shooting through the roof with a +8.76% increase today!',103
54,54.0,2020-09-23 21:30:00,"b""Nike's shares opened at a record high on Wall Street after online sales powered stellar results https://t.co/mbYP2YfS1y $NKE https://t.co/zr8aiQWCRe""",22382376
55,55.0,2020-09-23 21:30:00,"b'Started trading with $3k, down to $1k, back up to $32k. Big thanks to this community https://t.co/cB9ml2A8dt  $INO $ZM $SPAQ $NKE $TWTR $ACB $WKHS $MNOV  $ROKU  $JNJ $WDC $CVNA $PLUG $VTVT $TTOO $GNUS $XSPA $TRVN $NAKD $SNDL $MVIS $IDEX $ONTX $NAOV $RMTI $AMRN $VBIV $OCGN $HTBX https://t.co/mRwzM1pZRz'",145
56,56.0,2020-09-23 21:28:27,"b'$NKE PREMARKET NOTES  Nike reported some fantastic numbers, but this gap up this morning was just a bit to much. So I told everyone the only trade in this today is we pull to $127 than we can go LONG, otherwise leave it alone  +2 Point LONG  https://t.co/8ttHd6DmFO https://t.co/KMKLQauqlb'",4463
57,57.0,2020-09-23 21:24:58,"b""#bullish -- not a blowout like we saw with $NKE -- but that's not how $COST rolls. Sales are already largely known. Comps robust enough to cover food inflation, which is one of the few risks to the story. Online angle emerging here. https://t.co/Cv7wK7ggT1""",11578
58,58.0,2020-09-23 21:20:00,b'*Another great week! Gains of over 2400% and over 18% returns!! A big thank you to this community https://t.co/3ts90sNtzD  $INO $ZM $SPAQ $NKE $TWTR $ACB $WKHS $MNOV  $ROKU  $JNJ $WDC $CVNA $PLUG $VTVT $TTOO $GNUS $XSPA $TRVN $NAKD $SNDL $MVIS $IDEX $ONTX $NAOV $RMTI $AMRN https://t.co/2j5gvvycsp',52
59,59.0,2020-09-23 21:18:15,"b'4 Top Stock Trades for Thursday: $NKE, $CHWY, $JNJ, $WORK - https://t.co/DrMi40kZjA'",10597
60,60.0,2020-09-23 21:11:20,b'New high 9/23/20 $MRNS $HQI $AMWL $JKS $TFFP $NKE $ZM $FVRR $TWTR $FROG $SKYS $NLS $PCVX $PINS $BPMC $U $CRDF $ROKU $ZG $Z $VSLR $ESCA $RUN $SAM $APPS $XLRN $BAND $PTON $HZNP $NAV $NVTA $MTH $SWTX $AAWW $ARNA $PACB $NUAN $NVO $HIBB $DAVA $DG $RUSHA $FCNCP $MYOV $REGI $BGNE',215
61,61.0,2020-09-23 21:09:46,b'$NKE PUTS OPTIONS TRADE $1200 https://t.co/NdgJeXl3Lj $SPI $MRNS $SUNW $DGLY $JKS $BOIL $AMWL $JDST $ZSL $CETX $HTH $DUST $POLA $DPW $NETE $QTT $MAXN $TECS $UONE $SQQQ $ACIU $WVE $ACB $RMTI $NKLA $WRTC $MICT $LAC $RVP $VCNX $VVPR $VXRT $WRN $ZGNX $TGB $WKHS $BOXL $EVGN $KOLD $FB',330
62,62.0,2020-09-23 21:08:24,"b'The $NKE UP ""roll trade"" ended at $21,903 #EarningsSurvivor @Tony_BATtista @tastytrade @ChaddaShelly @Davtrdr $NKE'",887
63,63.0,2020-09-23 21:05:44,b'$ITOX working on govt contract 4 bridges in NE?!!\xf0\x9f\x92\xb8\xf0\x9f\x93\x88  $spx $es_f #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC $CHEK https://t.co/8f8QHNRNbM',18212
64,64.0,2020-09-23 21:05:16,"b""@Nike women's apparel division grew 200% YoY!  Additionally, $NKE launched Nike (M), which is their first dedicated maternity collection. Furthermore, they introduced a new yoga collection that has already driven incredible growth for their women's yoga business.  @web""",1082
65,65.0,2020-09-23 21:05:15,"b""I bet by now you've likely read the same breakdowns time and time again about the $NKE earnings that were released yesterday. I mean its hard to avoid talking about the 82% YoY in digital sales, but I'd found something else more insightful... https://t.co/rXefcBcW7m""",1082
66,66.0,2020-09-23 21:04:22,"b'Stocks sold off today, but there were some winners in the SPX.  $NKE, $UAA, $WDC &amp; $TWTR all closed higher, find out why below: https://t.co/PD9G2jtixS'",1007
67,67.0,2020-09-23 21:02:46,b'$1200 gain on $NKE 124 PUT Options in 3 minutes watch recap of live trade here https://t.co/BN91bJ3RuA https://t.co/eyfxMfvLwH',330
68,68.0,2020-09-23 20:58:43,"b'#options #forex #gold #silver #currencies #tradingpsychology #trading #Algorithms #AIgo $aapl $amzn $cost $fb $googl $nflx $ysla $nke $zm $shop $msft $lmt $ba $btc #btc as you can most #sector got some corrections in #Futures charts above,enjoy your #evening #day #cheers \xf0\x9f\x92\xb0\xf0\x9f\x8d\xbb\xf0\x9f\x8c\x9e\xf0\x9f\x8c\x8c https://t.co/uyENjmooYO'",341
69,69.0,2020-09-23 20:57:05,b'Wednesday Market Movers: Dow: $NKE 8.76% $JNJ 0.16% $CRM -4.76% $CVX-4.74% $AAPL-4.20%  S&amp;P 500: $NKE 8.76% $WDC6.72% $TWTR6.09% $ALB -15.56% $APA -9.31% $MPC-7.44%  Other: $NKLA -25.82% $WKHS -16.50% $SFIX -15.52% $TSLA -10.34% $OSTK -9.98% $SGMS-9.83% https://t.co/BR5eIW7ee6',617
70,70.0,2020-09-23 20:55:32,"b""Relative Strength Today: $NKE (earnings) $UA (sympathy) $ZM $NET (option flow) $CLDR (buyout rumors &amp; option flow) $MU (upgrade i think) $APOG (no idea) $CHWY $BILL (option flow) $TWTR (big volume today, has been on \xf0\x9f\x94\xa5)  That's about it that I see""",553
71,71.0,2020-09-23 20:50:00,b'We provide high-quality alerts with an impeccable track record. https://t.co/3ts90t54Yd  $INO $ZM $SPAQ $NKE $TWTR $ACB $WKHS $MNOV  $ROKU  $JNJ $WDC $CVNA $PLUG $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $NIO $OXY $CCL $FB $USO $DAL https://t.co/C9PnBZ23wu',52
72,72.0,2020-09-23 20:48:41,b'I have made more than 38K in few months. You can be make a enough profit. Select this profitable  chatroom: https://t.co/EOfTyyhnJb  $SPXS $EEM $TNXP $MA $NVDA $HD $JPM $UNH $VZ $DIS $ADBF $CRM $BAC $KO $MRK $INTC $CMCSA  $NFLX $T $PYPL $PFE $NVS $ABT $SAP $TM $PEP $NKE $ORCL https://t.co/djxNgybgxb',23
73,73.0,2020-09-23 20:48:31,"b""How Nike hit its e-commerce goal 3 years early https://t.co/2Cs2uBUoks digital was 30% of sales in Q1, a milestone $NKE thought it would get to in 2023. Covid helped of course but Nike is doing all the right things. (PS. I'm back in the saddle.)""",10665
74,74.0,2020-09-23 20:45:57,b'We find the 100% runners BEFORE the crowd! Chatroom:https://t.co/CmCIV7NjCP $ACB $NVAX $MRNA $CGC $DKNG $AAL $SAVE $UAL $WORK $PLAY $DOCU $PD $GPS $MDB $ZM $GOOG $GE $BYND $SNAP $SPCE $NFLX $UBER $SHOP $TLRY $AAPL $BA $MSFT $AMZN $TWTR $FB $TSLA $GILD $AMD $GE $W $FREE $SHLL $NKE https://t.co/96JukHFKny',442
75,75.0,2020-09-23 20:45:56,b'@Top_Xth I hope his $NKE stock fits him better ... :)',125
76,76.0,2020-09-23 20:45:11,b'$NKE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 2564',6465
