,date_time,ticker,headline,neg,neu,pos,compound
31,2020-09-24 13:49:00,FB,"Senate panel wants CEOs of Facebook, Google, Twitter to testify Oct. 1: report",0.0,1.0,0.0,0.0
32,2020-09-24 12:55:00,FB,Facebook Oversight Board set to launch ahead of U.S. election,0.0,1.0,0.0,0.0
33,2020-09-24 12:53:00,FB,"Facebook (FB) Has Risen 38% in Last One Year, Outperforms Market",0.0,1.0,0.0,0.0
34,2020-09-24 12:43:00,FB,Facebook's Oversight Board Will Start Reviewing Content Soon,0.0,1.0,0.0,0.0
35,2020-09-24 12:12:00,FB,"Senate panel plans to issue subpoenas to CEOs of Google, Facebook, Twitter",0.0,1.0,0.0,0.0
36,2020-09-24 11:39:00,FB,What a Biden presidency would mean for tech stocks,0.0,1.0,0.0,0.0
37,2020-09-24 11:30:00,FB,"Instagram bug made users vulnerable to hackers, according to this report",0.16,0.84,0.0,-0.2263
38,2020-09-24 10:57:00,FB,Facebook is a whole different animal and may not be able to exist in its current form under a new regime: expert,0.0,1.0,0.0,0.0
39,2020-09-24 10:00:00,FB,"Tech Veterans Try to Build a Kinder, More Thoughtful Facebook",0.0,0.535,0.465,0.7264
40,2020-09-24 06:01:00,FB,"Instagram bug made users vulnerable to hackers, cybersecurity firm claims",0.174,0.826,0.0,-0.2263
41,2020-09-24 06:00:00,FB,Influencers with Andy Serwer: Jessica Alba,0.0,1.0,0.0,0.0
42,2020-09-24 05:14:00,FB,Facebook's Oversight Board plans to launch just before U.S. election,0.0,1.0,0.0,0.0
43,2020-09-23 23:59:00,FB,Winklevoss Twins Crypto Exchange Is Expanding Into the U.K.,0.0,1.0,0.0,0.0
44,2020-09-23 23:41:00,FB,Facebook gives more details about its efforts against hate speech before Myanmar's general election,0.222,0.778,0.0,-0.5719
45,2020-09-23 20:33:00,FB,Trump Says Kentucky Attorney General Is Handling Breonna Taylor Situation Very Well,0.0,0.821,0.179,0.3384
