,date_time,ticker,headline,neg,neu,pos,compound
25,2020-09-23 18:34:00,NKE,"September Sell-Off: S&P 500 Craters 78 Points, Approaching Correction Levels as Apple, Oxy, Lead Tech Stocks, Energy Stocks Down",0.0,0.8959999999999999,0.104,0.2732
26,2020-09-23 17:20:00,NKE,Nike is 'just getting started' after blowing away investor expectations,0.0,1.0,0.0,0.0
27,2020-09-23 16:47:00,NKE,Dow Falls 500 Points as Fed Warns More Stimulus Needed,0.135,0.865,0.0,-0.1027
28,2020-09-23 16:42:00,NKE,Dow Jones Sinks Over 500 Points But This Blue Chip Soars On Earnings,0.0,1.0,0.0,0.0
29,2020-09-23 16:36:00,NKE,US STOCKS-Wall Street closes lower on fears of a slowing economy,0.385,0.615,0.0,-0.6124
30,2020-09-23 16:28:00,NKE,"Nike, JinkoSolar, SPI Energy: 5 Top Gainers for Wednesday",0.0,0.606,0.394,0.4404
32,2020-09-23 15:21:00,NKE,The Nike Rebound Is Almost Complete,0.0,1.0,0.0,0.0
33,2020-09-23 15:17:00,NKE,Dow Jones Drops As Bears Batter Bulls; Apple Stock Surrenders Key Support,0.0,0.8029999999999999,0.197,0.4019
34,2020-09-23 14:54:00,NKE,Why Under Armour Stock Just Jumped 7%,0.0,1.0,0.0,0.0
35,2020-09-23 14:52:00,NKE,"US STOCKS-Wall Street retreats as business activity slows, raising fears over economy",0.203,0.797,0.0,-0.4215
36,2020-09-23 14:30:00,NKE,Dow Jones Dives 400 Points As Selling Ramps Up; Nasdaq Drops Over 2%,0.0,1.0,0.0,0.0
37,2020-09-23 14:01:00,NKE,Nike stock surges 10% as fiscal 2021 revenue is expected to rise as much as low double digits,0.11,0.89,0.0,-0.2732
38,2020-09-23 13:14:00,NKE,US STOCKS-Wall Street retreats as business activity slows,0.0,1.0,0.0,0.0
39,2020-09-23 13:00:00,NKE,Nike stock hits all time highs,0.0,1.0,0.0,0.0
40,2020-09-23 12:51:00,NKE,Why Nike Stock Surged Today,0.0,1.0,0.0,0.0
41,2020-09-23 12:07:00,NKE,"Dow Jones Reverses Lower, But Nike Surges On Earnings; Apple Downgraded, While Tesla Dives 9% After Battery Day",0.115,0.885,0.0,-0.29600000000000004
