,ticker,date,time,headline,neg,neu,pos,compound
52,NKE,2020-09-23,02:01PM,Nike stock surges 10% as fiscal 2021 revenue is expected to rise as much as low double digits,0.11,0.89,0.0,-0.2732
53,NKE,2020-09-23,01:14PM,US STOCKS-Wall Street retreats as business activity slows,0.0,1.0,0.0,0.0
54,NKE,2020-09-23,01:00PM,Nike stock hits all time highs,0.0,1.0,0.0,0.0
55,NKE,2020-09-23,12:51PM,Why Nike Stock Surged Today,0.0,1.0,0.0,0.0
56,NKE,2020-09-23,12:07PM,"Dow Jones Reverses Lower, But Nike Surges On Earnings; Apple Downgraded, While Tesla Dives 9% After Battery Day",0.115,0.885,0.0,-0.296
57,NKE,2020-09-23,11:58AM,US STOCKS-Wall Street retreats as business activity slows,0.0,1.0,0.0,0.0
58,NKE,2020-09-23,10:45AM,"Nike, Johnson & Johnson share gains lead the way, but Dow flat",0.0,0.732,0.268,0.3182
59,NKE,2020-09-23,10:39AM,Nikes Strong Earnings Kick Off a Sector Rally,0.0,0.645,0.355,0.5106
60,NKE,2020-09-23,10:36AM,Nikes Earnings Were So Good Its Rivals Adidas and Puma Are Rising,0.0,0.775,0.225,0.4927
61,NKE,2020-09-23,10:22AM,Nike's stock rally keeping the Dow in positive territory,0.0,0.69,0.31,0.5574
62,NKE,2020-09-23,10:19AM,"US STOCKS-S&P 500, Nasdaq retreat as business activity dips",0.0,0.816,0.184,0.2023
63,NKE,2020-09-23,10:12AM,Nike's digital transformation 'is just getting started': UBS' Jay Sole,0.0,1.0,0.0,0.0
64,NKE,2020-09-23,10:04AM,Stock market is 'waiting for the next shoe to drop': Shawn Cruz,0.0,1.0,0.0,0.0
65,NKE,2020-09-23,09:59AM,"Dow Jones Today Jumps, Nasdaq Dips As Nike Rallies; J&J Vaccine Enters Phase 3",0.0,1.0,0.0,0.0
66,NKE,2020-09-23,09:56AM,"Nike Soars to Record After Sales, Profit Surge Past Projections",0.0,0.756,0.244,0.4404
67,NKE,2020-09-23,09:52AM,Nike shares set for record high after digital sales power stellar results,0.0,0.833,0.167,0.296
68,NKE,2020-09-23,09:51AM,"Nike, General Mills beat earnings estimates, Walmart to hire 20K seasonal workers",0.0,1.0,0.0,0.0
69,NKE,2020-09-23,09:49AM,Nike Shares Soar To Record High As Digital Sales Surge Leads Q1 Earnings Beat,0.0,0.855,0.145,0.296
70,NKE,2020-09-23,09:45AM,"Nike, Boeing share gains contribute to Dow's 135-point climb",0.0,0.603,0.397,0.5574
71,NKE,2020-09-23,09:40AM,Nike Shares Just Hit an All-Time High: Inside the Quarter That Surprised Investors in the Best Possible Way,0.0,0.644,0.356,0.8074
72,NKE,2020-09-23,09:33AM,Dow rises over 100 points as stocks continue rebound from selloff,0.0,1.0,0.0,0.0
73,NKE,2020-09-23,08:49AM,"Dow Futures Gain, Nike Soars To Record Peak, As Global Markets Rebound Despite Coronavirus Spike",0.0,0.805,0.195,0.5267
74,NKE,2020-09-23,08:36AM,2 key numbers show how quickly Nike is bouncing back from the pandemic,0.0,1.0,0.0,0.0
75,NKE,2020-09-23,08:31AM,"US STOCKS-Nike set to lift S&P 500, Dow ahead of business activity data",0.0,1.0,0.0,0.0
