,date_time,ticker,headline,neg,neu,pos,compound
61,2020-09-13 06:03:00,CVX,U.S. Gulf Coast prepares for second hurricane in a month,0.0,1.0,0.0,0.0
62,2020-09-12 21:56:00,CVX,Oil producers evacuate U.S. Gulf of Mexico platforms as storm brews,0.0,1.0,0.0,0.0
63,2020-09-12 13:10:00,CVX,U.S. Gulf of Mexico storm could reach hurricane strength Monday -NHC,0.0,0.677,0.32299999999999995,0.5106
65,2020-09-12 09:54:00,CVX,Why These High-Yield Dividend Stocks Are a Terrible Buy,0.307,0.693,0.0,-0.4767
66,2020-09-11 15:00:00,CVX,"Post-Bankruptcy, Whiting Petroleum an Intriguing Choice for Oil Bulls",0.0,1.0,0.0,0.0
67,2020-09-11 11:00:00,CVX,Chevrons Delo Traveling Technology Lab Wins Global 2020 Corporate Events Award from EXHIBITOR Magazine,0.0,0.625,0.375,0.802
68,2020-09-10 16:29:00,CVX,10 Biggest Oil Companies,0.0,1.0,0.0,0.0
69,2020-09-09 16:06:00,CVX,3 High-Yielding Hedges For Tech's Valuation Compression,0.0,1.0,0.0,0.0
70,2020-09-09 14:22:00,CVX,Change the Exxon Mobil Stock Strategy to Suit the New Normal,0.0,1.0,0.0,0.0
71,2020-09-09 11:27:00,CVX,Elliott seeking to break up Noble Energy's sale to Chevron - Bloomberg reporter,0.0,0.7859999999999999,0.214,0.4588
72,2020-09-09 10:54:00,CVX,Elliott Seeks to Break Up Chevrons Takeover of Noble,0.0,0.727,0.273,0.4588
73,2020-09-08 13:01:00,CVX,Elliott Discloses Stake in Takeover Target Noble Energy,0.0,0.541,0.459,0.6249
74,2020-09-08 13:00:00,CVX,Chevron Welcomes Familiar Face to Board,0.0,0.649,0.35100000000000003,0.4019
75,2020-09-08 12:18:00,CVX,Dow Jones Dives 400 Points As Stock Market Rout Extends; Tesla Tanks,0.0,0.88,0.12,0.128
76,2020-09-08 11:02:00,CVX,"Dow's 430-point fall led by losses for shares of Boeing, Chevron",0.194,0.647,0.158,-0.128
77,2020-09-08 10:43:00,CVX,Oil Tumbles Below Critical $40 Level,0.315,0.685,0.0,-0.3182
78,2020-09-08 09:00:00,CVX,Jon Huntsman Jr. Rejoins Chevrons Board of Directors,0.0,1.0,0.0,0.0
79,2020-09-08 08:25:00,CVX,Like Dividends? I Bet You'll Love These 3 Stocks,0.0,0.4270000000000001,0.573,0.7717
80,2020-09-08 07:39:00,CVX,"Oil & Gas Stock Roundup: TOTAL's EV Battery JV, Chevron's Gorgon Delay & More",0.173,0.8270000000000001,0.0,-0.3182
81,2020-09-06 09:34:00,CVX,Forget ExxonMobil: Here Are 3 Better Dividend Stocks,0.194,0.51,0.29600000000000004,0.25
82,2020-09-04 22:48:00,CVX,Federal Reserves New Framework Means Zero Rates for Five Years,0.0,1.0,0.0,0.0
83,2020-09-04 20:36:00,CVX,The Stock Markets August Gains Turned to September Pain. What Happens Next.,0.21,0.637,0.153,-0.2263
84,2020-09-04 12:35:00,CVX,Chevron Postpones Scheduled Restart of Train 2 Until October,0.231,0.769,0.0,-0.2732
85,2020-09-04 12:27:00,CVX,5 Energy Stocks to Consider as Oil Prices Struggle to Recover,0.185,0.645,0.16899999999999998,-0.0516
86,2020-09-04 06:50:00,CVX,"Shareholders warm to proposals focused on climate, social issues -Georgeson",0.0,0.64,0.36,0.5423
87,2020-09-03 11:29:00,CVX,Clean Energy Fuels Is One Renewable Energy Stock to Watch,0.0,0.504,0.496,0.7096
88,2020-09-03 11:05:00,CVX,3 Great Reasons to Buy Chevron,0.0,0.494,0.506,0.6249
89,2020-09-03 10:04:00,CVX,Unusual Options Activity Insight: Chevron,0.0,1.0,0.0,0.0
90,2020-09-03 09:47:00,CVX,"The Zacks Analyst Blog Highlights: Walmart, Roche and Chevron",0.0,1.0,0.0,0.0
91,2020-09-03 06:00:00,CVX,Influencers with Andy Serwer: Mario Gabelli,0.0,1.0,0.0,0.0
92,2020-09-02 16:02:00,CVX,Exxon Mobil Gets Set To Shrink As Oil Price Recovery Stagnates,0.0,1.0,0.0,0.0
93,2020-09-02 15:01:00,CVX,Should You Invest in Exxon Mobil Stock After Its Been Cancelled?,0.16699999999999998,0.833,0.0,-0.25
94,2020-09-02 13:46:00,CVX,"Top Stock Reports for Walmart, Roche & Chevron",0.0,0.769,0.231,0.2023
95,2020-09-02 06:00:00,CVX,I have a problem with Tesla: Billionaire Investor,0.35100000000000003,0.649,0.0,-0.4019
96,2020-09-01 20:00:00,CVX,The Largest Oil Play Of The Decade? Interview With Daniel Jarvie,0.0,0.8059999999999999,0.194,0.34
97,2020-09-01 18:04:00,CVX,Charles de Vaulx's Top 5 Trades of the 2nd Quarter,0.0,0.816,0.184,0.2023
98,2020-08-31 22:11:00,CVX,Chevron Corporation (CVX): Hedge Funds Taking Some Chips Off The Table,0.0,1.0,0.0,0.0
99,2020-08-31 19:14:00,CVX,Australia's Ampol sued by Chevron over alleged 'Caltex' branding breaches,0.0,1.0,0.0,0.0
0,2020-09-29 15:55:00,CVX,"Dow's 115-point drop led by losses for Chevron, Travelers shares",0.343,0.5,0.157,-0.3818
1,2020-09-29 12:21:00,CVX,"Dow Loses 200 Points Ahead Of Debate, As This Key Stock Rallies",0.173,0.8270000000000001,0.0,-0.3182
2,2020-09-28 16:02:00,CVX,'Halftime Report' Traders Weigh In On Bank Of America's Upgrade Of Chevron,0.0,1.0,0.0,0.0
3,2020-09-28 15:03:00,CVX,"Dow rallies 462 points on gains for shares of Boeing, Dow Inc.",0.0,0.685,0.315,0.5574
4,2020-09-28 12:52:00,CVX,Chevron Up as Bank of America Lifts Stock to Buy on Valuation,0.0,1.0,0.0,0.0
5,2020-09-28 12:00:00,CVX,"Stocks on the move: Caesars makes bid for William Hill, Snap rises on upgrade",0.0,1.0,0.0,0.0
6,2020-09-28 10:59:00,CVX,Why Chevron's Stock Is Trading Higher Today,0.0,1.0,0.0,0.0
7,2020-09-28 09:45:00,CVX,"Chevron, American Express share gains lead Dow's 333-point rally",0.0,0.603,0.397,0.5574
8,2020-09-28 09:31:00,CVX,"Benzinga's Top Upgrades, Downgrades For September 28, 2020",0.0,0.795,0.205,0.2023
9,2020-09-28 08:35:00,CVX,Is It Time to Buy These 3 Beaten-Down Dow Jones Stocks?,0.0,1.0,0.0,0.0
0,2020-09-30 17:45:00,CVX,Chevron (CVX) Gains But Lags Market: What You Should Know,0.19399999999999998,0.62,0.18600000000000003,-0.0258
1,2020-09-30 06:00:00,CVX,The Devon-WPX Tie-Up Could Start a Wave of Deals in Oil-and-Gas,0.0,1.0,0.0,0.0
