,date_time,ticker,headline,neg,neu,pos,compound,Unnamed: 0
16,2020-09-26 07:25:00,NFLX,COVID-19 Vaccine Delay: Buy These Stocks to Safeguard Your Portfolio,0.17800000000000002,0.62,0.20199999999999999,0.0772,
17,2020-09-26 04:01:00,NFLX,Netflix says it does not agree with Chinese author's views on Uighur Muslims,0.15,0.85,0.0,-0.2755,
18,2020-09-25 20:39:00,NFLX,"As Zoom and Videoconferencing Boom, TVs Are Getting Left Behind",0.0,1.0,0.0,0.0,
19,2020-09-25 20:05:00,NFLX,Why Rival Bike Peddlers Could Help Boost Pelotons Stock,0.0,0.565,0.435,0.6597,
20,2020-09-25 17:21:00,NFLX,"Data: Netflix weathering 'Cuties' backlash, cancellations were a 'short-lived phenomenon'",0.0,1.0,0.0,0.0,
21,2020-09-25 16:25:00,NFLX,Netflix Inc. stock outperforms market on strong trading day,0.0,0.708,0.292,0.5106,
22,2020-09-25 16:09:00,NFLX,"Market Recap: Friday, September 25",0.0,1.0,0.0,0.0,
23,2020-09-25 15:33:00,NFLX,Tech Companies Wager Billions On Race To Win Over These Consumers,0.0,0.725,0.275,0.5859,
24,2020-09-25 14:39:00,NFLX,Surge in Netflix cancelations over 'Cuties' controversy was short-lived: 7Park Data,0.0,1.0,0.0,0.0,
25,2020-09-25 11:02:00,NFLX,"Chart Reading: 3 Telltale Clues To Look For In Nvidia, Netflix",0.0,1.0,0.0,0.0,
26,2020-09-25 09:45:00,NFLX,Google to Increase Push for Apps to Give Cut of In-App Purchases,0.146,0.6940000000000001,0.16,0.0516,
27,2020-09-25 09:02:00,NFLX,What most managers dont know about leading diverse teams,0.0,1.0,0.0,0.0,
28,2020-09-25 06:46:00,NFLX,"Cuties Controversy: Surge in Netflix Cancellations Was Short-Lived, Data Shows",0.0,0.738,0.262,0.4939,
29,2020-09-25 06:00:00,NFLX,The #MeToo movement blew up the way Hollywood operates: Jessica Alba,0.0,1.0,0.0,0.0,
30,2020-09-24 16:25:00,NFLX,"Netflix Inc. stock rises Thursday, outperforms market",0.0,1.0,0.0,0.0,
31,2020-09-24 15:30:00,NFLX,"U.S. senators, citing Uighurs, urge Netflix to drop planned Chinese sci-fi series",0.16,0.84,0.0,-0.2732,
32,2020-09-24 15:10:00,NFLX,The rotation to more value and cyclical sectors has already begun: Wealth Consulting Group CEO,0.0,0.688,0.312,0.7089,
33,2020-09-24 14:13:00,NFLX,"Amazon Unveils Echo Show 10 With Netflix Streaming, Announces Luna Cloud Gaming Service and More",0.0,0.892,0.10800000000000001,0.1779,
34,2020-09-24 13:57:00,NFLX,GRAPHIC-'Healthy correction' or something more? Stock swings keep investors on edge,0.0,1.0,0.0,0.0,
35,2020-09-24 13:02:00,NFLX,US STOCKS-Tech stocks lift Wall Street as economic rebound slows,0.0,1.0,0.0,0.0,
36,2020-09-24 12:48:00,NFLX,Why Retirement Planning Matters,0.0,0.732,0.268,0.0258,
37,2020-09-24 11:44:00,NFLX,US STOCKS-Nasdaq rises on tech boost as economic recovery cools,0.0,0.769,0.231,0.4019,
38,2020-09-24 11:39:00,NFLX,What a Biden presidency would mean for tech stocks,0.0,1.0,0.0,0.0,
39,2020-09-24 10:41:00,NFLX,25 Best Movies On Netflix Now,0.0,0.5429999999999999,0.457,0.6369,
41,2020-09-24 08:59:00,NFLX,US STOCKS-Wall Street set to open lower as labor market recovery cools,0.16699999999999998,0.833,0.0,-0.29600000000000004,
42,2020-09-24 08:30:00,NFLX,Netflix Needs Its Own 90 Day Fiance,0.0,1.0,0.0,0.0,
43,2020-09-24 06:06:00,NFLX,The FAANG Stock News You Completely Missed Last Month,0.23800000000000002,0.762,0.0,-0.3597,
44,2020-09-23 16:25:00,NFLX,"Netflix Inc. stock falls Wednesday, underperforms market",0.0,1.0,0.0,0.0,
45,2020-09-23 13:29:00,NFLX,"How Wattpads Aron Levitz Mines User-Generated Stories for Movie, TV Hits (Listen)",0.0,1.0,0.0,0.0,
46,2020-09-23 13:28:00,NFLX,7 of the biggest reasons why the stock market is having a dreadful September,0.209,0.7909999999999999,0.0,-0.4404,
47,2020-09-23 08:31:00,NFLX,"US STOCKS-Nike set to lift S&P 500, Dow ahead of business activity data",0.0,1.0,0.0,0.0,
48,2020-09-23 06:54:00,NFLX,US STOCKS-Futures rise ahead of business activity data; Nike shines,0.0,1.0,0.0,0.0,
49,2020-09-22 20:20:00,NFLX,A $50 Phone is Ambani's Weapon to Dominate India Telecom Market,0.316,0.684,0.0,-0.4019,
50,2020-09-22 17:19:00,NFLX,'The stocks in the S&P 500 are not necessarily reflective of the full economy': Strategist,0.0,1.0,0.0,0.0,
51,2020-09-22 16:27:00,NFLX,David Chang on sexism in the restaurant industry: Ive been a bully,0.242,0.758,0.0,-0.4939,
52,2020-09-22 16:25:00,NFLX,"Netflix Inc. stock rises Tuesday, still underperforms market",0.0,1.0,0.0,0.0,
53,2020-09-22 11:56:00,NFLX,GameStop Rises on Investors Plan to Make It an Amazon Rival,0.0,0.855,0.145,0.1779,
54,2020-09-22 10:30:00,NFLX,Netflix May Discover Treasure in Quibi Wreckage,0.0,0.732,0.268,0.29600000000000004,
55,2020-09-22 10:13:00,NFLX,Netflix Releases Kiss the Ground Documentary on Climate Change,0.0,0.741,0.259,0.4215,
56,2020-09-22 03:01:00,NFLX,"Robbie Amell to Star in, Produce Float Film Based on Kate Marchant Hit Wattpad Story",0.0,1.0,0.0,0.0,
57,2020-09-21 20:52:00,NFLX,"Apple CEO Impressed by Remote Work, Sees Permanent Changes",0.0,0.721,0.27899999999999997,0.4767,
58,2020-09-21 17:33:00,NFLX,HBO comes out on top at 2020 Primetime Emmy Awards,0.0,0.625,0.375,0.5859,
59,2020-09-21 17:08:00,NFLX,"Ratings tumble for all-virtual Emmys as HBO, 'Schitt's Creek' wins hint at TV's future",0.0,0.778,0.222,0.5719,
60,2020-09-21 16:37:00,NFLX,Microsofts Bethesda Acquisition Paves Way for Netflix of Gaming,0.0,1.0,0.0,0.0,
62,2020-09-21 14:11:00,NFLX,HBO Dramas Dominate Ratings-Challenged Virtual Emmy Awards,0.158,0.526,0.316,0.3612,
63,2020-09-21 14:02:00,NFLX,Streaming service Quibi is exploring possible sale: report,0.0,1.0,0.0,0.0,
64,2020-09-21 13:27:00,NFLX,Roku Stock Surges on Stay-At-Home Bets and Peacock Deal With Comcast,0.0,1.0,0.0,0.0,
65,2020-09-21 11:24:00,NFLX,How last night's Emmys changed the future of award shows,0.0,0.72,0.28,0.5423,
